ENTIDAD,NOM_ENT,MUN,NOM_MUN,POBTOT,POBFEM,POBMAS,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PCON_DISC,PCLIM_PMEN,GRAPROES,GRAPROES_F,GRAPROES_M,PSINDER,PDER_SS
26,Sonora,0,Total de la entidad Sonora,2944840,1472643,1472197,723847,1981467,236801,2.07,145473,40272,10.4,10.45,10.35,547727,2391479
26,Sonora,1,Aconchi,2563,1227,1336,589,1624,350,2.43,171,38,8.78,9.38,8.22,532,2026
26,Sonora,1,Aconchi,1650,785,865,359,1051,240,2.35,117,25,8.91,9.45,8.4,129,1518
26,Sonora,1,Aconchi,761,373,388,200,487,74,2.47,35,12,8.6,9.34,7.92,378,383
26,Sonora,1,Aconchi,23,9,14,2,12,9,4.44,4,0,8.43,8.44,8.42,1,22
26,Sonora,1,Aconchi,118,55,63,26,67,25,2.89,14,1,8.21,8.86,7.66,23,93
26,Sonora,2,Agua Prieta,91929,46118,45811,25287,61326,5261,2.16,4039,1129,9.64,9.63,9.64,26718,65050
26,Sonora,2,Agua Prieta,91029,45722,45307,25100,60771,5103,2.15,3981,1120,9.67,9.65,9.68,26299,64570
26,Sonora,2,Agua Prieta,50,17,33,3,33,14,5.13,3,0,6.17,6.56,5.97,37,13
26,Sonora,2,Agua Prieta,52,22,30,5,27,20,2.95,5,1,6.85,7.9,6.07,18,34
26,Sonora,2,Agua Prieta,242,113,129,46,149,47,2.89,19,1,6.6,7.06,6.21,159,83
26,Sonora,2,Agua Prieta,73,35,38,29,40,4,2.32,5,0,10.27,10.76,9.83,38,35
26,Sonora,2,Agua Prieta,116,52,64,25,72,19,2.87,6,3,5.58,5.35,5.79,21,95
26,Sonora,2,Agua Prieta,18,8,10,1,14,3,3.13,1,0,5.59,5.63,5.56,8,10
26,Sonora,2,Agua Prieta,24,10,14,4,13,7,4.22,2,0,4.5,3.11,5.64,15,9
26,Sonora,2,Agua Prieta,15,6,9,2,6,7,3,4,0,5.15,6.2,4.5,4,11
26,Sonora,2,Agua Prieta,9,4,5,2,4,3,1.75,0,0,10.14,9.67,10.5,3,6
26,Sonora,2,Agua Prieta,13,8,5,1,10,2,1.38,0,0,11.08,11.14,11,9,4
26,Sonora,2,Agua Prieta,8,4,4,1,5,2,3,1,0,7.29,7.33,7.25,2,6
26,Sonora,3,Alamos,24976,12067,12909,6339,15540,3094,2.62,1665,325,8.2,8.4,8.01,3949,20992
26,Sonora,3,Alamos,10961,5526,5435,2786,7079,1095,2.27,532,150,9.79,9.91,9.66,1955,9000
